Employee_Number,Age,CF_age_band,Gender,Marital_Status,Department,Job_Role,Job_Level,Education,Education_Field,Total_Working_Years,Years_At_Company,Years_In_Current_Role,Years_Since_Last_Promotion,Years_With_Curr_Manager,Monthly_Income,Percent_Salary_Hike,Stock_Option_Level,Job_Satisfaction,Environment_Satisfaction,Relationship_Satisfaction,Work_Life_Balance,Job_Involvement,Performance_Rating,Over_Time,Business_Travel,Distance_From_Home,Training_Times_Last_Year,Num_Companies_Worked,Attrition,CF_attrition_label,CF_current_Employee,Hourly_Rate,Daily_Rate,Monthly_Rate,Employee_Count,Standard_Hours,Over18
STAFF-11,30,25 - 34,Male,Divorced,Sales,Sales Representative,3,Bachelor's Degree,Medical,10,1,1,0,1,10773,17,0,2,3,3,3,1,3,Yes,Non-Travel,27,2,5,No,Current Employees,1,82,335,13284,1,80,Y
STAFF-12,36,35 - 44,Male,Single,IT,IT Support,1,Associates Degree,Human Resources,16,3,1,1,0,7343,22,0,1,2,4,1,2,2,Yes,Non-Travel,31,1,1,No,Current Employees,1,91,800,18779,1,80,Y
STAFF-13,54,45 - 54,Male,Married,Sales,Sales Executive,1,High School,Marketing,34,6,2,2,2,7306,22,0,3,1,4,3,2,3,No,Travel_Rarely,1,3,2,Yes,Ex-Employees,0,45,623,19248,1,80,Y
STAFF-14,38,35 - 44,Male,Divorced,IT,IT Support,2,Bachelor's Degree,Marketing,12,6,2,2,0,7934,21,0,1,3,4,4,2,4,No,Travel_Rarely,3,4,4,Yes,Ex-Employees,0,65,623,13508,1,80,Y
STAFF-15,30,25 - 34,Male,Single,Finance,Accountant,2,Master's Degree,Marketing,12,3,1,1,0,7792,19,1,1,4,1,3,1,4,No,Non-Travel,21,5,6,No,Current Employees,1,74,670,16019,1,80,Y
STAFF-16,40,35 - 44,Male,Single,IT,Software Engineer,1,Bachelor's Degree,Life Sciences,22,0,0,0,0,6679,12,1,2,3,3,2,1,1,No,Non-Travel,5,3,1,Yes,Ex-Employees,0,30,697,17288,1,80,Y
STAFF-17,35,35 - 44,Female,Single,HR,HR Manager,1,Associates Degree,Technical Degree,17,0,0,0,0,5549,11,0,2,2,3,4,1,2,No,Travel_Frequently,25,5,1,Yes,Ex-Employees,0,68,702,6699,1,80,Y
STAFF-18,52,45 - 54,Male,Married,IT,Software Engineer,1,Associates Degree,Marketing,22,7,3,3,2,9747,2,1,2,3,1,1,1,4,Yes,Non-Travel,13,0,3,Yes,Ex-Employees,0,46,902,24557,1,80,Y
STAFF-19,38,35 - 44,Female,Single,IT,Software Engineer,1,PhD,Human Resources,16,8,3,0,1,7803,18,2,4,2,4,3,2,3,Yes,Travel_Rarely,5,2,1,Yes,Ex-Employees,0,92,860,15247,1,80,Y
STAFF-20,51,45 - 54,Male,Married,HR,Recruiter,4,Associates Degree,Marketing,35,7,0,0,3,10929,9,0,1,1,4,2,4,3,No,Travel_Rarely,2,1,1,No,Current Employees,1,74,1099,13823,1,80,Y
STAFF-21,39,35 - 44,Female,Divorced,IT,Data Analyst,2,Master's Degree,Other,17,0,0,0,0,8267,15,0,4,2,2,2,4,2,Yes,Non-Travel,3,6,4,Yes,Ex-Employees,0,49,635,8859,1,80,Y
STAFF-22,58,Over 55,Male,Single,Marketing,Marketing Specialist,2,High School,Human Resources,34,4,0,0,2,10452,23,0,1,2,2,2,3,3,No,Non-Travel,2,1,4,No,Current Employees,1,82,710,25864,1,80,Y
STAFF-23,50,45 - 54,Male,Divorced,R&D,Healthcare Representative,3,High School,Other,30,0,0,0,0,10457,13,3,2,2,3,4,2,2,Yes,Non-Travel,2,6,1,No,Current Employees,1,80,843,23975,1,80,Y
STAFF-24,34,25 - 34,Female,Single,Marketing,Marketing Manager,4,Associates Degree,Medical,13,1,1,0,1,13960,10,1,4,3,1,2,2,4,No,Non-Travel,5,4,2,Yes,Ex-Employees,0,85,626,19178,1,80,Y
STAFF-25,23,Under 25,Male,Married,R&D,Research Scientist,2,Associates Degree,Other,0,0,0,0,0,8094,13,0,4,3,3,1,2,2,No,Travel_Rarely,14,0,2,No,Current Employees,1,77,1160,12959,1,80,Y
STAFF-26,18,Under 25,Male,Single,HR,HR Manager,1,Bachelor's Degree,Marketing,0,0,0,0,0,8234,9,1,4,4,3,3,3,3,Yes,Travel_Frequently,7,3,1,No,Current Employees,1,48,694,12873,1,80,Y
STAFF-27,34,25 - 34,Female,Single,Sales,Sales Executive,2,Associates Degree,Medical,21,0,0,0,0,12758,6,0,1,3,4,4,3,3,No,Non-Travel,7,1,1,Yes,Ex-Employees,0,52,883,9372,1,80,Y
STAFF-28,59,Over 55,Female,Married,Finance,Finance Manager,1,Associates Degree,Life Sciences,37,8,1,1,5,7707,17,0,2,1,2,3,3,3,No,Travel_Frequently,20,5,1,Yes,Ex-Employees,0,37,752,12865,1,80,Y
STAFF-29,24,Under 25,Female,Married,R&D,Laboratory Technician,1,Associates Degree,Life Sciences,0,0,0,0,0,6608,13,0,3,2,4,1,4,3,No,Travel_Rarely,19,6,5,Yes,Ex-Employees,0,42,398,15744,1,80,Y
STAFF-30,24,Under 25,Female,Divorced,Marketing,Content Creator,1,Associates Degree,Other,0,0,0,0,0,9198,17,0,3,2,1,2,2,3,No,Travel_Rarely,6,5,3,Yes,Ex-Employees,0,59,691,14652,1,80,Y
STAFF-31,39,35 - 44,Female,Single,IT,Software Engineer,1,Associates Degree,Medical,13,2,0,0,1,8515,16,0,3,1,4,3,4,3,No,Travel_Frequently,35,5,1,No,Current Employees,1,39,958,16309,1,80,Y
STAFF-32,20,Under 25,Female,Single,Sales,Manager,1,Bachelor's Degree,Medical,3,2,0,0,1,9544,15,1,4,2,2,4,4,4,Yes,Travel_Frequently,5,0,1,Yes,Ex-Employees,0,61,1130,20757,1,80,Y
STAFF-33,36,35 - 44,Male,Divorced,Sales,Sales Executive,2,High School,Technical Degree,20,0,0,0,0,10474,13,1,1,1,3,2,4,3,No,Travel_Rarely,3,1,1,Yes,Ex-Employees,0,89,507,20268,1,80,Y
STAFF-34,25,25 - 34,Male,Married,Marketing,Marketing Specialist,1,Associates Degree,Marketing,16,3,0,0,0,7183,13,0,1,3,2,1,3,3,No,Non-Travel,1,0,1,No,Current Employees,1,51,777,18103,1,80,Y
STAFF-35,36,35 - 44,Female,Divorced,HR,Recruiter,2,High School,Life Sciences,7,4,2,1,3,6508,21,0,2,1,1,2,3,2,Yes,Travel_Rarely,20,4,1,Yes,Ex-Employees,0,57,808,15148,1,80,Y
STAFF-36,44,35 - 44,Female,Married,R&D,Laboratory Technician,1,High School,Medical,19,2,0,0,0,8916,12,3,4,3,3,4,4,3,No,Travel_Rarely,3,4,1,No,Current Employees,1,41,1166,11582,1,80,Y
STAFF-37,29,25 - 34,Male,Divorced,R&D,Healthcare Representative,4,High School,Life Sciences,0,0,0,0,0,12215,14,2,3,1,2,4,4,1,Yes,Non-Travel,2,0,1,No,Current Employees,1,48,873,19640,1,80,Y
STAFF-38,34,25 - 34,Female,Divorced,Finance,Financial Analyst,1,Bachelor's Degree,Medical,12,3,1,1,0,6101,12,1,3,4,2,1,4,4,Yes,Travel_Frequently,17,1,1,Yes,Ex-Employees,0,77,126,10608,1,80,Y
STAFF-39,33,25 - 34,Female,Single,HR,HR Manager,1,Bachelor's Degree,Human Resources,2,2,0,0,2,8462,21,0,2,4,3,1,3,2,Yes,Travel_Rarely,26,3,3,Yes,Ex-Employees,0,42,922,18189,1,80,Y
STAFF-40,46,45 - 54,Female,Married,Finance,Financial Analyst,1,Master's Degree,Technical Degree,24,0,0,0,0,7891,15,0,1,2,1,3,1,3,No,Non-Travel,13,6,1,Yes,Ex-Employees,0,65,715,10589,1,80,Y
STAFF-41,31,25 - 34,Male,Divorced,Sales,Sales Executive,1,Bachelor's Degree,Marketing,5,5,0,0,5,7291,14,0,1,4,2,1,3,1,No,Non-Travel,7,1,3,No,Current Employees,1,30,766,8875,1,80,Y
STAFF-42,35,35 - 44,Male,Single,IT,Software Engineer,2,Bachelor's Degree,Medical,18,1,1,1,0,9364,16,2,4,2,3,1,3,3,No,Non-Travel,3,1,1,Yes,Ex-Employees,0,74,1287,5000,1,80,Y
STAFF-43,40,35 - 44,Female,Single,Sales,Manager,1,Bachelor's Degree,Medical,16,0,0,0,0,7909,20,0,4,1,4,3,1,3,No,Non-Travel,7,4,2,Yes,Ex-Employees,0,43,1081,19230,1,80,Y
STAFF-44,31,25 - 34,Female,Married,Marketing,Marketing Specialist,2,Associates Degree,Life Sciences,9,0,0,0,0,7829,16,3,2,1,1,4,1,3,No,Non-Travel,30,1,1,No,Current Employees,1,82,817,11765,1,80,Y
STAFF-45,41,35 - 44,Male,Single,Sales,Sales Representative,4,Associates Degree,Human Resources,20,4,1,0,2,14758,18,1,3,3,3,1,3,3,Yes,Travel_Rarely,10,3,1,Yes,Ex-Employees,0,87,406,20992,1,80,Y
STAFF-46,30,25 - 34,Female,Single,Finance,Accountant,1,High School,Medical,23,1,0,0,0,7527,14,0,2,1,4,4,2,3,No,Travel_Rarely,11,1,4,No,Current Employees,1,82,416,7256,1,80,Y
STAFF-47,47,45 - 54,Male,Married,R&D,Manufacturing Director,2,Associates Degree,Life Sciences,24,4,1,1,2,5512,15,0,2,1,1,2,4,3,Yes,Travel_Rarely,7,3,3,Yes,Ex-Employees,0,63,333,13638,1,80,Y
STAFF-48,18,Under 25,Male,Divorced,Marketing,Marketing Manager,1,High School,Human Resources,0,0,0,0,0,6476,14,0,1,3,1,4,1,3,No,Travel_Frequently,13,6,2,Yes,Ex-Employees,0,44,1314,18859,1,80,Y
STAFF-49,30,25 - 34,Female,Divorced,HR,Recruiter,2,Associates Degree,Human Resources,0,0,0,0,0,6488,19,2,2,4,3,4,2,3,Yes,Non-Travel,22,1,1,Yes,Ex-Employees,0,74,769,14866,1,80,Y
STAFF-50,41,35 - 44,Male,Single,R&D,Healthcare Representative,3,Master's Degree,Other,16,0,0,0,0,13723,19,2,2,2,4,2,1,3,No,Travel_Frequently,40,4,4,Yes,Ex-Employees,0,62,710,21878,1,80,Y
STAFF-51,33,25 - 34,Male,Single,Marketing,Content Creator,1,Bachelor's Degree,Medical,11,0,0,0,0,9328,9,0,1,4,1,3,2,3,Yes,Non-Travel,7,1,1,No,Current Employees,1,34,310,15854,1,80,Y
STAFF-52,18,Under 25,Male,Single,Marketing,Marketing Specialist,1,Bachelor's Degree,Medical,0,0,0,0,0,7588,11,1,3,4,1,1,1,3,No,Non-Travel,5,3,2,No,Current Employees,1,33,482,15315,1,80,Y
STAFF-53,38,35 - 44,Male,Married,R&D,Laboratory Technician,1,Master's Degree,Life Sciences,17,0,0,0,0,8728,19,0,3,3,1,3,4,3,No,Travel_Rarely,7,6,3,No,Current Employees,1,53,1108,17848,1,80,Y
STAFF-54,29,25 - 34,Female,Married,Sales,Sales Executive,3,Bachelor's Degree,Life Sciences,9,0,0,0,0,13435,17,2,2,1,2,1,3,2,No,Travel_Rarely,35,4,8,Yes,Ex-Employees,0,97,575,19340,1,80,Y
STAFF-55,46,45 - 54,Female,Divorced,R&D,Healthcare Representative,2,Bachelor's Degree,Life Sciences,32,1,0,0,1,10448,19,3,4,1,4,2,2,3,No,Travel_Rarely,2,5,1,No,Current Employees,1,30,502,18147,1,80,Y
STAFF-56,25,25 - 34,Female,Single,R&D,Manufacturing Director,1,High School,Medical,3,3,0,0,3,8819,15,0,1,4,2,2,2,4,Yes,Travel_Rarely,1,5,1,Yes,Ex-Employees,0,66,1012,10759,1,80,Y
STAFF-57,18,Under 25,Female,Divorced,Sales,Sales Representative,2,Associates Degree,Marketing,0,0,0,0,0,9122,14,0,3,2,4,2,4,3,No,Travel_Frequently,12,0,6,Yes,Ex-Employees,0,67,1012,5154,1,80,Y
STAFF-58,32,25 - 34,Female,Married,Marketing,Marketing Manager,2,Associates Degree,Marketing,16,0,0,0,0,9761,15,0,4,4,1,3,1,3,No,Travel_Rarely,1,4,1,Yes,Ex-Employees,0,67,698,11932,1,80,Y
STAFF-59,31,25 - 34,Female,Single,Finance,Financial Analyst,2,Associates Degree,Human Resources,9,5,1,0,1,7434,13,0,4,3,2,4,3,4,Yes,Non-Travel,4,4,1,Yes,Ex-Employees,0,99,1038,17287,1,80,Y
STAFF-60,23,Under 25,Female,Single,IT,Software Engineer,3,Associates Degree,Medical,3,0,0,0,0,10984,26,2,4,3,1,2,1,3,Yes,Travel_Frequently,2,2,5,Yes,Ex-Employees,0,74,849,16625,1,80,Y
STAFF-61,33,25 - 34,Female,Single,Finance,Financial Analyst,3,Associates Degree,Human Resources,10,1,1,0,1,10954,16,3,4,1,4,1,3,2,No,Travel_Rarely,12,0,6,No,Current Employees,1,44,960,20928,1,80,Y
STAFF-62,42,35 - 44,Female,Single,Sales,Sales Representative,1,Bachelor's Degree,Technical Degree,20,6,3,0,6,6682,14,0,1,2,3,2,1,3,No,Non-Travel,1,1,1,No,Current Employees,1,44,210,25281,1,80,Y
STAFF-63,23,Under 25,Female,Divorced,Marketing,Marketing Specialist,2,Bachelor's Degree,Marketing,2,2,0,0,2,8475,17,0,3,2,1,1,1,3,Yes,Travel_Frequently,11,6,2,Yes,Ex-Employees,0,63,774,19063,1,80,Y
STAFF-64,40,35 - 44,Female,Divorced,HR,Recruiter,2,Master's Degree,Medical,20,2,1,1,0,10130,16,0,3,1,4,1,4,3,Yes,Travel_Rarely,1,4,2,No,Current Employees,1,73,1156,10064,1,80,Y
STAFF-65,49,45 - 54,Female,Divorced,R&D,Healthcare Representative,2,Associates Degree,Other,32,5,3,0,2,10689,18,0,3,3,2,4,2,3,No,Non-Travel,3,1,1,No,Current Employees,1,34,1178,12240,1,80,Y
STAFF-66,60,Over 55,Female,Divorced,Marketing,Content Creator,1,Associates Degree,Human Resources,38,2,1,1,2,8167,12,0,1,3,2,3,2,3,Yes,Non-Travel,12,6,1,No,Current Employees,1,53,748,18088,1,80,Y
STAFF-67,41,35 - 44,Female,Single,R&D,Healthcare Representative,1,Bachelor's Degree,Other,14,3,1,0,2,8275,19,1,2,4,1,1,3,3,No,Travel_Frequently,1,5,1,No,Current Employees,1,85,741,13155,1,80,Y
STAFF-68,39,35 - 44,Female,Married,R&D,Research Scientist,3,Associates Degree,Technical Degree,11,0,0,0,0,12167,9,2,4,4,4,1,1,2,No,Travel_Rarely,25,3,6,Yes,Ex-Employees,0,30,642,14929,1,80,Y
STAFF-69,36,35 - 44,Female,Single,R&D,Manufacturing Director,2,Associates Degree,Marketing,8,1,1,0,1,9773,10,3,2,2,4,4,2,3,Yes,Travel_Rarely,31,2,2,No,Current Employees,1,58,617,23146,1,80,Y
STAFF-70,37,35 - 44,Male,Divorced,R&D,Research Scientist,2,Bachelor's Degree,Technical Degree,12,11,0,0,1,11143,14,0,2,2,2,1,4,3,No,Non-Travel,8,1,2,No,Current Employees,1,92,795,22286,1,80,Y
STAFF-71,43,35 - 44,Female,Single,Sales,Manager,1,Bachelor's Degree,Human Resources,19,4,2,0,0,7689,10,0,1,1,4,2,1,2,No,Travel_Rarely,6,2,1,No,Current Employees,1,60,250,16003,1,80,Y
STAFF-72,38,35 - 44,Female,Single,IT,IT Support,4,Bachelor's Degree,Marketing,22,3,0,0,1,10254,16,1,4,3,1,3,3,3,No,Non-Travel,5,6,3,Yes,Ex-Employees,0,54,776,17261,1,80,Y
STAFF-73,24,Under 25,Male,Single,Marketing,Marketing Specialist,4,Master's Degree,Technical Degree,4,1,0,0,1,13335,21,1,2,2,1,3,4,3,Yes,Travel_Frequently,13,2,1,Yes,Ex-Employees,0,64,312,15807,1,80,Y
STAFF-74,29,25 - 34,Male,Married,Sales,Sales Executive,4,Bachelor's Degree,Life Sciences,15,4,0,0,1,13770,21,2,2,3,3,3,1,3,Yes,Travel_Rarely,1,3,1,No,Current Employees,1,85,621,8937,1,80,Y
STAFF-75,49,45 - 54,Female,Divorced,Finance,Financial Analyst,2,High School,Human Resources,24,4,3,1,0,9975,12,2,3,2,4,2,3,3,No,Travel_Frequently,6,5,1,No,Current Employees,1,80,962,19423,1,80,Y
STAFF-76,45,45 - 54,Female,Married,Finance,Finance Manager,1,Master's Degree,Other,33,2,2,0,0,7792,6,1,1,3,1,3,2,4,No,Travel_Rarely,1,1,1,No,Current Employees,1,55,821,20809,1,80,Y
STAFF-77,25,25 - 34,Male,Single,IT,Software Engineer,2,Bachelor's Degree,Technical Degree,4,4,2,2,4,13031,25,0,4,2,4,2,2,3,No,Travel_Rarely,17,4,1,No,Current Employees,1,61,737,6250,1,80,Y
STAFF-78,44,35 - 44,Female,Married,Sales,Sales Executive,1,High School,Technical Degree,20,0,0,0,0,4700,7,0,3,4,2,3,2,3,No,Travel_Rarely,7,0,1,Yes,Ex-Employees,0,58,913,14097,1,80,Y
STAFF-79,27,25 - 34,Male,Married,R&D,Research Scientist,2,High School,Marketing,4,0,0,0,0,7937,7,0,4,3,4,4,3,3,No,Travel_Rarely,7,4,2,No,Current Employees,1,67,615,11458,1,80,Y
STAFF-80,38,35 - 44,Female,Divorced,Marketing,Marketing Manager,1,Associates Degree,Human Resources,5,0,0,0,0,7767,14,0,3,1,1,2,2,3,No,Travel_Rarely,1,5,4,Yes,Ex-Employees,0,76,1075,5000,1,80,Y
STAFF-81,50,45 - 54,Female,Divorced,IT,IT Support,2,Master's Degree,Medical,18,3,2,2,2,7209,19,0,1,2,2,2,4,4,No,Travel_Rarely,13,6,1,No,Current Employees,1,45,1244,13733,1,80,Y
STAFF-82,22,Under 25,Male,Single,Finance,Financial Analyst,3,PhD,Human Resources,0,0,0,0,0,10774,11,0,1,1,2,4,3,4,No,Non-Travel,1,0,2,Yes,Ex-Employees,0,30,364,10809,1,80,Y
STAFF-83,30,25 - 34,Male,Married,IT,Data Analyst,2,Master's Degree,Marketing,8,1,0,0,1,7706,15,1,3,3,2,4,2,4,Yes,Travel_Frequently,11,0,1,Yes,Ex-Employees,0,49,613,14159,1,80,Y
STAFF-84,30,25 - 34,Male,Single,Finance,Financial Analyst,2,Bachelor's Degree,Human Resources,8,1,1,0,1,5204,13,0,1,3,4,2,1,3,No,Travel_Rarely,7,4,5,Yes,Ex-Employees,0,31,1142,12272,1,80,Y
STAFF-85,34,25 - 34,Female,Divorced,Marketing,Content Creator,2,Bachelor's Degree,Medical,8,3,1,0,3,7635,15,1,4,4,2,3,3,3,No,Travel_Rarely,5,6,4,No,Current Employees,1,88,698,17073,1,80,Y
STAFF-86,49,45 - 54,Female,Married,IT,IT Support,2,Bachelor's Degree,Other,26,5,1,1,4,8797,20,0,1,3,2,1,4,3,No,Non-Travel,5,2,3,No,Current Employees,1,69,1317,14381,1,80,Y
STAFF-87,31,25 - 34,Female,Divorced,IT,Software Engineer,2,Master's Degree,Human Resources,9,3,0,0,2,9705,5,0,2,4,1,1,1,4,No,Non-Travel,1,1,1,Yes,Ex-Employees,0,42,990,13604,1,80,Y
STAFF-88,45,45 - 54,Female,Married,Marketing,Marketing Specialist,2,Associates Degree,Human Resources,28,2,0,0,0,7947,17,0,3,3,4,2,3,3,No,Travel_Frequently,6,1,1,Yes,Ex-Employees,0,50,1066,5833,1,80,Y
STAFF-89,34,25 - 34,Male,Divorced,Sales,Sales Representative,3,Master's Degree,Technical Degree,7,1,0,0,1,12327,16,1,4,2,4,1,3,4,No,Travel_Frequently,1,0,4,Yes,Ex-Employees,0,82,758,16952,1,80,Y
STAFF-90,33,25 - 34,Female,Single,IT,Software Engineer,4,High School,Human Resources,10,1,1,1,0,14448,21,3,1,4,4,3,1,2,No,Travel_Rarely,2,2,2,No,Current Employees,1,45,781,21353,1,80,Y
STAFF-91,41,35 - 44,Female,Single,R&D,Healthcare Representative,2,Bachelor's Degree,Human Resources,17,2,1,1,0,10256,21,0,4,1,3,1,3,2,Yes,Non-Travel,21,2,1,Yes,Ex-Employees,0,54,751,15204,1,80,Y
STAFF-92,24,Under 25,Female,Single,Finance,Finance Manager,1,High School,Technical Degree,0,0,0,0,0,10618,18,0,4,1,3,1,3,3,No,Travel_Rarely,9,3,1,Yes,Ex-Employees,0,34,393,13695,1,80,Y
STAFF-93,22,Under 25,Female,Divorced,IT,Software Engineer,4,High School,Medical,0,0,0,0,0,14005,18,3,4,1,2,3,4,3,No,Non-Travel,2,3,1,Yes,Ex-Employees,0,65,869,8699,1,80,Y
STAFF-94,28,25 - 34,Male,Married,Finance,Finance Manager,1,Master's Degree,Technical Degree,7,4,1,0,3,9370,9,1,3,1,1,3,2,4,No,Non-Travel,5,0,1,No,Current Employees,1,31,584,11505,1,80,Y
STAFF-95,47,45 - 54,Male,Married,Sales,Sales Executive,2,Associates Degree,Marketing,25,7,2,1,0,10630,15,0,4,4,1,3,3,3,No,Non-Travel,42,6,1,Yes,Ex-Employees,0,65,899,12881,1,80,Y
STAFF-96,18,Under 25,Male,Single,HR,Recruiter,1,PhD,Medical,0,0,0,0,0,7040,17,1,2,2,3,4,1,3,Yes,Travel_Rarely,10,0,2,Yes,Ex-Employees,0,74,963,19472,1,80,Y
STAFF-97,18,Under 25,Female,Divorced,HR,HR Manager,1,High School,Human Resources,0,0,0,0,0,10149,13,2,2,4,1,2,3,1,No,Travel_Frequently,39,4,5,Yes,Ex-Employees,0,80,368,5798,1,80,Y
STAFF-98,51,45 - 54,Male,Single,R&D,Laboratory Technician,2,Master's Degree,Medical,31,0,0,0,0,11525,12,2,4,3,1,3,1,3,No,Travel_Frequently,1,6,2,No,Current Employees,1,39,909,19434,1,80,Y
STAFF-99,30,25 - 34,Male,Single,Finance,Accountant,2,Bachelor's Degree,Technical Degree,8,1,1,1,0,10020,20,0,3,2,1,1,2,1,No,Non-Travel,4,5,1,Yes,Ex-Employees,0,53,623,14859,1,80,Y
STAFF-100,32,25 - 34,Female,Single,HR,HR Specialist,1,High School,Medical,13,4,3,0,0,8295,17,1,2,1,2,4,3,3,No,Travel_Frequently,33,4,1,Yes,Ex-Employees,0,30,839,13376,1,80,Y
STAFF-101,58,Over 55,Female,Single,R&D,Healthcare Representative,2,Master's Degree,Other,36,0,0,0,0,8927,17,0,2,4,3,4,4,2,Yes,Travel_Frequently,1,4,1,No,Current Employees,1,86,1081,18168,1,80,Y
STAFF-102,35,35 - 44,Female,Married,R&D,Research Scientist,1,Associates Degree,Human Resources,7,4,2,0,0,6909,17,0,4,4,3,1,3,2,No,Travel_Rarely,27,0,1,Yes,Ex-Employees,0,68,868,20270,1,80,Y
STAFF-103,49,45 - 54,Male,Divorced,Sales,Sales Representative,2,Associates Degree,Life Sciences,32,0,0,0,0,9104,11,1,2,1,3,1,2,3,No,Travel_Rarely,3,5,1,No,Current Employees,1,54,424,12205,1,80,Y
STAFF-104,38,35 - 44,Male,Single,HR,HR Specialist,2,Associates Degree,Technical Degree,18,7,0,0,7,9582,15,0,1,1,2,2,2,2,No,Non-Travel,5,2,2,Yes,Ex-Employees,0,50,853,12266,1,80,Y
STAFF-105,32,25 - 34,Female,Divorced,Finance,Finance Manager,3,Master's Degree,Other,17,0,0,0,0,12228,22,0,1,3,4,3,2,2,No,Travel_Frequently,23,1,2,Yes,Ex-Employees,0,54,757,8087,1,80,Y
STAFF-106,50,45 - 54,Male,Single,R&D,Research Scientist,2,Bachelor's Degree,Medical,30,1,1,0,1,7703,14,1,3,1,3,1,3,3,No,Non-Travel,4,1,1,No,Current Employees,1,70,729,11081,1,80,Y
STAFF-107,28,25 - 34,Female,Married,IT,IT Support,1,Bachelor's Degree,Other,14,2,2,0,2,7749,17,0,3,3,1,4,1,3,Yes,Travel_Rarely,10,5,2,Yes,Ex-Employees,0,56,1208,16650,1,80,Y
STAFF-108,43,35 - 44,Male,Married,Marketing,Marketing Specialist,2,Associates Degree,Human Resources,37,0,0,0,0,7062,17,0,2,4,3,1,1,3,No,Non-Travel,1,2,2,Yes,Ex-Employees,0,75,488,15678,1,80,Y
STAFF-109,36,35 - 44,Male,Single,Finance,Finance Manager,1,High School,Life Sciences,12,1,0,0,1,8573,12,0,1,1,3,2,3,3,No,Travel_Frequently,3,1,3,Yes,Ex-Employees,0,72,705,19609,1,80,Y
STAFF-110,39,35 - 44,Female,Divorced,HR,HR Specialist,1,High School,Medical,27,0,0,0,0,7168,23,1,2,2,1,2,3,3,Yes,Non-Travel,17,1,1,Yes,Ex-Employees,0,48,530,20994,1,80,Y
STAFF-111,27,25 - 34,Male,Married,HR,HR Manager,1,Associates Degree,Other,12,6,2,0,2,7795,5,1,1,2,1,4,2,4,No,Travel_Rarely,5,6,2,Yes,Ex-Employees,0,30,877,14771,1,80,Y
STAFF-112,27,25 - 34,Female,Single,IT,Software Engineer,1,Associates Degree,Medical,8,6,2,1,2,6599,16,2,4,3,2,1,4,3,No,Travel_Rarely,13,6,1,No,Current Employees,1,64,623,17859,1,80,Y
